order id,item id,sku,portal name,vendor id,vendor payment amount,portal payment,difference,product id,vendor_name,vendor type,selling price,mrp,qty,reimbursment amount,mastr_product_mrp,upload selling price,order date
13081042894,#13542617326,DROOLS_8906043142061,6,892,-115.0,-115.81,-0.8100000000000023,214426,Abis Exports (India) Pvt Ltd,SOR order,1402.0,1650.0,1,-115.0,1650.0,1565.0,2021-03-23
13404446611,#13839889267,PUREPET_8906043145420,6,892,-70.0,-70.14,-0.1400000000000005,212797,Abis Exports (India) Pvt Ltd,SOR order,849.15,999.0,1,-70.0,999.0,999.0,2021-04-29
12227847679,#12692048127,DROOLS_8906043147837,6,892,175.50227999999993,391.99,216.48772000000008,213538,Abis Exports (India) Pvt Ltd,SOR order,559.2,699.0,1,0.0,699.0,699.0,2020-11-24
12496640033,#13014426433,PUREPET_8906043142672,6,892,348.5769000000001,548.06,199.4830999999999,212800,Abis Exports (India) Pvt Ltd,SOR order,966.0,999.0,1,0.0,999.0,999.0,2020-12-26
12869383765,#13350221653,PUREPET_8906043142689,6,892,553.61585,722.67,169.05414999999994,212801,Abis Exports (India) Pvt Ltd,SOR order,1019.0,1199.0,1,0.0,1199.0,1199.0,2021-02-28
12332051106,#12847974946,DROOLS_8906043143778,6,892,174.63542249999998,249.87,75.23457750000003,214399,Abis Exports (India) Pvt Ltd,SOR order,339.15,399.0,1,0.0,499.0,499.0,2020-12-02
12836288705,#13359795713,DROOLS_8906043142320,6,892,0.0,2078.59,2078.59,211992,Abis Exports (India) Pvt Ltd,SOR order,2847.0,3350.0,1,0.0,3350.0,3106.0,2021-02-05
12387193695,#12854163775,DROOLS_8906043141996,6,892,1930.3169000000005,1929.33,-0.98690000000056,211982,Abis Exports (India) Pvt Ltd,SOR order,2566.0,2990.0,1,-38.0,2990.0,2990.0,2020-12-18
12477542072,#12960190872,DROOLS_8906043145666,6,892,100.0776725,182.48,82.40232749999998,214449,Abis Exports (India) Pvt Ltd,SOR order,254.15,299.0,1,0.0,299.0,299.0,2021-01-02
12077212349,#12589339133,DROOLS_8906043142306,6,892,0.0,90.2,90.2,211997,Abis Exports (India) Pvt Ltd,SOR order,230.0,250.0,1,0.0,250.0,250.0,2020-11-08
12383775351,#12838945079,DROOLS_8906043140531,6,892,777.5032499999999,1076.43,298.9267500000002,211991,Abis Exports (India) Pvt Ltd,SOR order,1455.0,1690.0,1,0.0,1690.0,1660.0,2020-12-19
12530929029,#12980738405,DROOLS_8906043142122,6,892,239.52905,348.3,108.77095,214409,Abis Exports (India) Pvt Ltd,SOR order,467.0,550.0,1,0.0,600.0,600.0,2021-01-16
12537712842,#13075163562,DROOLS_8906043145666,6,892,100.0776725,203.13,103.0523275,214449,Abis Exports (India) Pvt Ltd,SOR order,254.15,299.0,1,0.0,299.0,299.0,2021-01-04
12182369811,#12601523987,PUREPET_8906043145635,6,892,240.8319225,537.3,296.46807749999994,236916,Abis Exports (India) Pvt Ltd,SOR order,849.15,999.0,1,0.0,999.0,999.0,2020-11-20
12414078612,#12902984436,PUREPET_8906043146366,6,892,1104.0278500000002,1103.59,-0.4378500000002532,234069,Abis Exports (India) Pvt Ltd,SOR order,1699.0,1999.0,1,-171.0,2399.0,2399.0,2020-12-13
12234318758,#12719942918,PUREPET_8906043142689,6,892,442.4474225,722.8,280.35257749999994,212801,Abis Exports (India) Pvt Ltd,SOR order,1019.15,1199.0,1,0.0,1199.0,1199.0,2020-11-22
12292656431,#12736699631,DROOLS_8906043141996,6,892,319.6625,319.27,-0.3925000000000409,211982,Abis Exports (India) Pvt Ltd,SOR order,750.0,750.0,1,-61.0,2990.0,2990.0,2020-11-30
12299245556,#12786151060,DROOLS_8906043147837,6,892,175.50227999999993,391.99,216.48772000000008,213538,Abis Exports (India) Pvt Ltd,SOR order,559.2,699.0,1,0.0,699.0,699.0,2020-11-26
12227847679,#12692048095,DROOLS_8906043147837,6,892,175.50227999999993,391.99,216.48772000000008,213538,Abis Exports (India) Pvt Ltd,SOR order,559.2,699.0,1,0.0,699.0,699.0,2020-11-24
12960593668,#13468871012,PUREPET_8906043142689,6,892,553.61585,571.63,18.014149999999972,212801,Abis Exports (India) Pvt Ltd,SOR order,1019.0,1199.0,1,0.0,1199.0,1199.0,2021-03-08
12386783509,#12859969045,DROOLS_8906043142344,6,892,1968.2137,1569.19,-399.0237,211998,Abis Exports (India) Pvt Ltd,SOR order,2518.0,2990.0,1,0.0,2990.0,2990.0,2020-12-24
12272673889,#12786661633,DROOLS_8906043142078,6,892,942.01625,952.83,10.813750000000027,214425,Abis Exports (India) Pvt Ltd,SOR order,1275.0,1500.0,1,-22.0,1500.0,1500.0,2020-11-27
12298025221,#12744058757,DROOLS_8906043147837,6,892,-87.0,-87.56,-0.5600000000000023,213538,Abis Exports (India) Pvt Ltd,SOR order,560.0,699.0,1,-87.0,699.0,699.0,2020-12-10
12250127146,#12782596170,DROOLS_8906043141781,6,892,1386.928,1386.35,-0.5780000000002019,211983,Abis Exports (India) Pvt Ltd,SOR order,1920.0,2400.0,1,-41.0,2600.0,2502.0,2020-11-20
12222481923,#12638497859,DROOLS_8906043147837,6,892,-41.0,-41.3,-0.2999999999999971,213538,Abis Exports (India) Pvt Ltd,SOR order,559.2,699.0,1,-41.0,699.0,699.0,2020-11-28
12281931706,#12740616218,LETSBITE_8906043144034,6,892,263.9278499999999,263.28,-0.6478499999999485,236920,Abis Exports (India) Pvt Ltd,SOR order,699.0,699.0,1,-93.0,1899.0,1848.0,2020-12-01
